region,month,latitude,longitude,temperature,rainfall,humidity,soil_moisture,ndvi_index,land_surface_temp,elevation,distance_to_water,flood_risk,malaria_cases,outbreak_risk
Benue,11,5.578008770256658,3.9203905993814363,33.413744719088875,133.4133346634975,53.00247353058274,0.2911997059048111,0.4666267439717434,37.02852294793954,1071.874380657297,2.1128840418302564,0.29553628004949994,57,Moderate
Oyo,3,7.921399251161498,14.20305662899456,30.71152584420024,112.25127247179637,74.76922976998338,0.42284958264560146,0.6145873449374271,30.88426213013497,213.9202878059615,19.20136549210252,0.19120548788312763,46,Moderate
Cross River,5,12.441404600254748,10.163996557207986,36.25586849981851,129.0757372119261,52.50295552550211,0.6910676741233786,0.13885490548205823,37.039967015931616,939.4098513717582,44.80524672705398,0.29592292333462267,42,Moderate
Rivers,3,12.068713932688794,14.173790635245837,38.673118476650174,147.6227223359646,50.748228780171004,0.9384987186794063,0.12924411233179678,38.1374494941189,278.2978605018453,24.808829965666096,0.7955429022398474,72,Moderate
Benue,11,10.247957073338625,10.582781655460376,29.071976716163462,241.705084860053,92.44615933811696,0.588682222667084,0.7791761978428275,30.32503882710303,259.0852244022234,27.596564315756048,0.704206916483277,69,Moderate
Borno,10,6.693685452026939,8.172185868117012,32.82923316822426,218.41407378373165,79.93831256077507,0.9858413854623145,0.8720454972385322,36.57444206349864,37.63484227468414,22.502154992178713,0.281408952802068,81,High
Kaduna,11,6.840352906507776,9.803136138435987,38.474113645565964,168.35655171681103,55.37698170815674,0.949392193387744,0.7086106461984135,37.02736031625629,810.2812380760292,44.42625830985888,0.3187127135670387,60,Moderate
Benue,7,5.2400299462414255,12.95403928848342,26.52959097012116,178.4913944863962,75.02949591055273,0.7098879940405911,0.8705503469842838,30.265169688157247,476.517149213551,21.76774046086153,0.9802988069357945,75,High
Cross River,1,13.218536737859097,6.913509977420085,17.850574553554058,178.47088890986493,61.62725968899942,0.5663872943625106,0.22274525501430933,14.604139238721908,1169.025336370195,37.82525106190454,0.3211414170961153,30,Low
Rivers,9,5.729315146394454,14.477520684911024,32.8546432230745,294.33164252327634,84.24880336425068,0.7452655694759638,0.7961464720428054,31.062513277855704,80.96336092981282,37.69010764754951,0.20677158576284016,59,Moderate
Oyo,9,9.728866011799063,8.591462373668836,27.455154558954206,114.4619040240908,86.63894963329534,0.8329613267985758,0.8247013156702092,24.956613457115164,97.8061676001653,25.158264501094,0.3890301094041254,73,Moderate
Cross River,5,9.843514169821129,14.474844025168636,24.18963303338993,253.69155532260845,72.842291501069,0.9544568232896105,0.33210934240261947,25.36743198274804,355.6552546388226,32.90928279606005,0.7179171471622533,52,Moderate
Cross River,9,7.696054411952688,13.569079376919156,26.14969201804786,65.39577686255649,68.42725653628256,0.802813489620489,0.618536289360138,26.351985388286998,654.5741706431638,22.095901171780245,0.3503657889693892,47,Moderate
Kaduna,10,7.525184610054551,12.211943476989747,22.75862589348953,135.115952419297,64.27382234965859,0.5132444010124,0.3446771342161797,27.305715013567458,903.1491317363584,37.59508283948989,0.8320098290254536,35,Moderate
Enugu,6,10.685884185582797,8.609253593246473,35.79502065967087,111.26302226392495,51.47780256585022,0.5946423037900321,0.18744270586881298,38.34587662965787,377.5632927080262,43.161469759686064,0.40995302152426494,41,Moderate
